question,response
What is the ratio of government debt to GDP in Bangladesh?,I do not know 
In what percentange Education budget increased by in FY25,I do not know 
What was the Government per capita actual expenditure on primary education averaged?,I do not know 
What percentage budget deficit has been projected 2026 at GDP? ,Budget deficit has been projected at 3.6% of GDP
The effective tax for a publicly listed tobacco company decreased by what percentage points in 2024," The effective tax rate for a publicly listed tobacco company decreased by 22.5 percentage points in 2024. This is because the tax rate for listed companies is 37.5% and the tax rate for non listed companies is 40%. Since the tobacco company is listed, the effective tax rate is 37.5%."
What policy provides rebate for non-listed companies listing through IPO?,"Rebate for listed companies listing through IPO is: non listed companies, including branch companies other than banks, insurance companies, merchant banks, jute, textile, garment industries, mobile phone operator companies and cigarette, Zarda, bidi, gul, or any other tobacco product. This are eligible for a rebate of 10% in the year of listing if they list at least 20% of their paid, up capital through IPO."
Who should submit Income Tax Return?,"To submit Income Tax Return a individuals with a total income exceeding Tk. 2,50,000/, (excluding female taxpayers, senior male taxpayers of 65 years and above, retarded taxpayers, and war, wounded gazetted freedom fighters). For female taxpayers with a total income exceeding Tk. 3,00,000/, Retarded taxpayers with a total income exceeding Tk. 3,75,000/,"
What is written in Section 67 of the Bangladesh Tax Income Tax Act 2023?,"According to Section 67 of the Bangladesh Tax Income Tax Act 2023 is the provision of Section 67 shall apply in special cases like computing ""income from other sources"" in accordance with the provisions of Chapter Eight."
What is the policy on practical work experience for CA students?,"The policy on practical work experience for CA students is as follows- practical work experience is a part of a training agreement with an ICAB Member. Students need to complete articleship for a period of 3, 4 years. The knowledge, skills, and experience gained during this period are invaluable and provide hands, on experience. Also the articleship agreement is designed to fit with the students practical experience, allowing them to progress through the qualification."
What types of liabilities are covered under Section 2.1 of the SBS-1 Return?,"The types of liabilities covered under Section 2.1 of the SBS, 1. All the return are:Short, term Foreign Liabilities, Bilateral Trade Liabilities (code 17601), Barter and Special Trade Arrangement (STA) transactions, Foreign currencies to be reported in Table B"
What policy restricts offsetting foreign sourced losses?,"The policy that restricts offsetting foreign sourced losses is:, Foreign sourced losses of a Bangladesh entity cannot be offset against the Bangladesh profits of that entity. This means that losses incurred from foreign sources cannot be used to reduce the profits of the same entity in Bangladesh."
What is the policy for non-medical professionals on reduced fees,"The policy for non medical professionals on reduced fees is as follows: for legal practitioners the fees at a reduced rate are charged or no fees are charged at all due to indigent circumstances of the client or any other cause, which should be recorded in the remarks column of the Case Register in Form A(2)."
What rule is there for Collection of tax from importers?," The purposes of making a collection of tax under section 53B of the Ordinance the Director general Bureau is responsible. In the case of deductions made under any other section except section 86 a certificate as per schedule 3 of the Rules for Tax Deducted at Source, 2023 shall be provided."
"What is the maximum penalty for tax evasion under the Income Tax Ordinance, 1984?","The maximum penalty for tax evasion under the Income Tax Ordinance, 1984, is:, Imprisonment for a term not exceeding 7 years, Fine for an amount not exceeding double the amount involved in the crime, Either of these penalties alone or in combination"
What is contains to give effect to the various proposals in the annual budget covering the areas of direct and indirect taxes.,"The Finance Act, 2023, contains the following: Tax rates, Amendments to existing laws relating to government tax or non tax revenue. And insertion of new clauses/sub, sections/sections/schedules in existing laws. Deletion of old clauses/sub, sections/sections/schedules in existing laws."
What is the Extending power of NBR officials?,"The extending power of NBR officials is as follows:, To declare any foreign un, incorporated association as a company for the purposes of the Act., To delegate powers of any income tax authority to another income tax authority., To determine and redetermine the area of income tax authority.To transfer power and jurisdictions of one income tax authority to another income tax authority."
What policy exempts capital gains from sale of shares by investing power generation companies?,"For Power Sector, the policy that exempts income from tax is the private sector power generation policy of Bangladesh, which is applicable if the company signs a contract with the Government within 30 June, 2020."
How does the tax rate for publicly traded companies compare to non-listed companies?,The tax rate for publicly traded companies is lower than that of non listed companies. Publicly traded companies: 20% corporate tax rate and for non listed companies: 27.5% corporate tax rate. 
How does the rate for mobile operators not listed compare to those converting with 10% shares?,The rate for mobile operators not listed is 45% while those converting themselves into a publicly traded company by transferring at least 10% shares through stock exchanges have a rate of 40%.
How does the treatment of share transfers for non-residents compare to capital gains exemption for power companies?,"For non resident individuals the treatment of share transfers is different from the capital gains exemption for power companies. For example Capital Gains Tax : Non, resident individuals are taxed on capital gains at the usual rate applicable to their total income, including capital gains. The rate is 15% on the amount of capital gains.  Also forCapital Dut : There is no mention of capital duty for non, resident individuals."
"How does the definition of ""property"" compare to ""share in a company""?","The definition of ""property"" in the notice is broader than the definition of ""share in a company"". Main differences ""Property"" includes- Movable property, Immovable property, Shares, Debentures, Interest in any company."
How does fixed income term compare to money market.,"Fixed Income Term: A fixed income term is suitable for companies that can afford to repay a loan earlier than they can, resulting in a need to re, borrow at a higher interest rate.Money Market:, A money market is preferred by companies that only need to borrow when necessary, allowing them to pay for borrowings only when needed. Main differences are fixed income term is suitable for companies with uncertain cash flows. Money market is suitable for companies with predictable cash flows."
How does the knowledge progression in financial management compare from Certificate Level to Professional Level?,"The knowledge progression in Financial Management from Certificate Level to Professional Level is as follows-  At Certificate Level, the aim is to enable you to recommend options for financing a business, recognize and manage links and make appropriate investment decisions.Also the knowledge base is developed further to enable you to apply technical knowledge, analytical techniques and professional skills to resolve compliance and business issues related to corporate reporting and audit services."
Compare S.R.O. for original rules to amendment S.R.O.s.,"The original S.R.O. for the Income Tax Rules, 1984, to the amendment S.R.O.s:, Original S.R.O. (1985) also short title is Income Tax Rules, 1984. It is  Issued byNational Board of Revenue. It's Powers conferred by: Section 185 of the Income Tax Ordinance, 1984 (XXXVI of 1984), Sub, section (4). "
How does treatment charges in Form A(1) compare to fee in Form A(2)?,"Comparison between treatment charges in Form A(1) and fee in Form A(2) is treatment charges in Form A(1) are related to the ""Nature of Treatment"" (a) Consultation, (b) Surgical treatment, and (c) Injection, etc and fee in Form A(2) is related to the ""Name, Brief Amount of fee, remuneration, etc."" of the practitioner or professional. There is no direct comparison between the two because they are related to different aspects of the medical treatment."
What does NBR represent?,"The National Board of Revenue (NBR) which is Highest executive tax authority in Bangladesh. A statutory body with the power to manage, control, and supervise the income tax department. The authority to make necessary rules concerning income tax matters."
What is BRPD means?,BRPD means Banking Regulation and Policy Department
What is BB means ?,BB stands for Bangladesh Bank. which is the central bank of Bangladesh.
JICA means what ?,"JICA stands for Japan International Co, operation Agency."
What does SME means ?,SME stands for Small and Medium Enterprises. It is a category of businesses that are typically defined as having a smaller size compared to larger corporations.
What does RR means?,RR stands for Residual Risk
What act is for co-operative societies?,"The act related to co, operative societies is- The Companies Act, 1994 This act includes the co, operative society as a type of entity that is registered with the Companies Act."
What productions are listed for progressive taxation?,"The productions listed for progressive taxation are: textile,machinery,tyre manufacturing industry,tissue grafting etc any other category of industrial undertaking as specified by the Government."
What is national bird of Kenya ?,I do not know 
What is Zakat in Islam ?,I do not know 
