question,response
How I can return my income tax?,"To return your income tax, follow these steps:, For company taxpayers, file your return by July 15th of the following year or by September 30th if the 15th of July falls before the end of the six, month period., For other taxpayers, file your return by September 30th of the following year, unless an extension is granted., If you make any TDS (Tax deduction at source) on payment, file a separate return of withholding tax by October 15th, January 15th, April 15th, or July 15th."
What is the full form of NBR in Bangladesh’s financial system?,"The full form of NBR in Bangladesh's financial system is:, National Board of Revenue"
What are risk management decisions concerned with?,"Risk management decisions are concerned with how a business manages risk in relation to:, Investment decisions, Financing decisions, Liquidity, Currency and credit decisions These decisions aim to reduce or hedge against risks and uncertainties, such as currency and interest rate changes, to ensure the firm's financial stability."
"What is the corporate income tax rate for publicly traded companies in Bangladesh, excluding banks, insurance, and specific industries?","The corporate income tax rate for publicly traded companies in Bangladesh, excluding banks, insurance, and specific industries, is 25%."
"What is the tax rate for cigarette, zarda, bidi, gul, or any other tobacco product manufacturing companies?","The tax rate for cigarette, zarda, bidi, gul, or any other tobacco product manufacturing companies is 3% of their gross receipts."
What is the opportunity cost?,"The opportunity cost is the value of the next best alternative that is forgone when a decision is made. In this case, the opportunity cost is the value of the alternative use of Material X., The opportunity cost of Material X is the sales proceeds forgone if it is not used in the project., The opportunity cost is the value of the alternative use of Material X, which is:, Selling 500 kg of Material X for 3,000 CU, Purchasing 1,000 kg of Material X for 4,000 CU"
Do banks in Bangladesh offer retirement savings schemes?,"Yes, banks in Bangladesh offer retirement savings schemes. The approved banks in Bangladesh for retirement savings schemes are:, South East Bank Limited, Dhaka Bank Limited, Al, Arafah Islami Bank Limited, Social Islami Bank Limited, Dutch, Bangla Bank Limited, Mercantile Bank Limited, Standard Bank Limited, One Bank Limited, Exim Bank Limited"
What is the duration of practical work experience required for the CA qualification?,"The duration of practical work experience required for the CA qualification is:, 3 years, 4 years (as an option)"
What is the publication date in the Bangladesh Gazette?,"The publication date in the Bangladesh Gazette is not explicitly mentioned in the provided context. However, the context does provide information on the signing date of the France, Bangladesh agreement, which is:, 09/03/1987, 21/89 (presumably a reference to the year 1989), 4/01/1989, 01/07/1989"
How has the method of submitting SBS returns changed over time?,"The method of submitting SBS returns has undergone changes over time. Here are the key changes:, Initially, the SBS returns were used for collection of information/data from the banking sector in Bangladesh., Later, the Statistics Department of the Bangladesh Bank published guidelines for the scheduled banks to fill in the returns properly and submit them to the Bangladesh Bank., The guidelines were published in the form of a booklet, which was introduced 8 years ago."
What changes were made to Rule 8A of the Income Tax Rules since its introduction?,"Based on the provided context, there is no information about changes made to Rule 8A of the Income Tax Rules since its introduction. The context only mentions the requirements and formalities for landlords receiving monthly rent more than Tk. 25,000, as per Rule 8A of Income Tax Rules 1984. However, the context does mention the following changes or additions to the rule:, The landlord must maintain a bank account and deposit the entire monthly rent directly into it."
When a financial year start,"To: Tax Partner, ABC & Co Subject: Memorandum on Filing Statement of International Transactions Dear Sir, As per Section 233(5), international transactions include:, Purchase, sale, lease of tangible or intangible property, Provision of services, Lending money, Borrowing of money between associated enterprises In this case, ABC Limited (subsidiary) received an interest, free loan from XYZ Limited (Parent), which falls under international transactions. Therefore, TP return must be filed as per Section 107EE. According to Section 15, the income year for ABC Limited is from July 2022 to June 2023, which includes:, The period beginning with the date of setting up of the business and ending with the 30th day of June following the date of setting up, The period beginning with the date on which a source of income newly comes into existence and ending with the 30th day of June following the date on which such new source comes into existence As the transaction incurred during this year, it must be reported under Part, ] Interest Free Loan, Advances and Investments. Please note that the transaction is subject to tax under any provision of the Act, and the profits and gains of any business carried on by a mutual insurance association must be computed in accordance with paragraph 8 of the Fourth Schedule. Please file the TP return as per Section 107EE. Best regards, [Your Name] Financial Advisor"
How did Bangladesh’s VAT system change after the 2012 VAT Act?,"After the 2012 VAT Act, Bangladesh's VAT system underwent significant changes. Some key changes include:, , Migration from 1991 VAT Act, based account current to new system, : The new system was designed to be more efficient and effective in managing account current balances., , Prepaid vs Postpaid system, : The VAT system now uses a prepaid vs postpaid system, which allows for more accurate tracking of VAT payments."
When was the amendment for rule 10(3) prospectus submission made?,"As a Bangladeshi financial advisor, I have reviewed the ATP study on XYZ Ltd. submitted to the tax authority. My position is as follows:, Ethical Threats:, , The use of TNMM method with PLI as profit level indicator may not accurately reflect the arm's length price of controlled transactions., The amendment from the issuing bank confirms that the port of loading is Chattogram, Bangladesh, but the unit price provided is consistent with the current market price available online, which may raise concerns about the accuracy of the transaction., Possible Actions:, , Request additional information from the applicant to verify the accuracy of the transaction, including the market price of the goods and the terms of the import LC., Conduct a thorough review of the ATP study to ensure that it meets the requirements of Rule 70(1) of the IT Rules, 1984., Consider seeking guidance from the tax authority or a professional organization to ensure compliance with the relevant rules and regulations., Recommendation:, , Request a Level 2 review of the transaction to ensure that it meets the requirements of Rule 10(3) prospectus submission and to verify the accuracy of the transaction. Please note that these actions are based solely on the information provided in the context and may require further investigation to ensure compliance with the relevant rules and regulations."
"When The Income Tax Act, 2023 came into force ?","The Income Tax Act, 2023 came into force on 27th June 2023."
What changes occur in the knowledge of financial management principles as students progress from Certificate Level to Professional and Advanced Levels?,"As students progress from Certificate Level to Professional and Advanced Levels, the knowledge of financial management principles undergoes significant changes. Here are the key changes:, , Development of knowledge base, : The knowledge base developed at Certificate Level is further developed in the Financial Management module., , Recommendation of financing options, : Students learn to recommend options for financing a business."
How did foreign direct investment (FDI) inflows to Bangladesh change after 2010?,"Foreign Direct Investment (FDI) inflows to Bangladesh have changed over the years. Here are some key points:, After 2010, FDI inflows to Bangladesh decreased., This decrease is likely due to the depreciation of the Eastern European country's currency, causing a reduction in the value of cash flows remitted back to Bangladesh., The depreciation of the Eastern European currency over a five, year period led to a decrease in the value of the investment project."
"Without considering recovery, what is a ""certificate"" in the rules in Bangladeshi tax return?","In the context of Bangladeshi tax return, a ""certificate"" refers to:, A tax clearance certificate, An exemption certificate These certificates are issued by the DCT (Directorate of Customs and Taxation) to individuals who are not likely to return to Bangladesh, and to those who have intention of returning."
"Isolated from corporate tax, what entity produced the document in conjunction?","Based on the provided context, here are the answers to the questions:, Withholding Tax, Corporate Tax Implication, and DTAA Implication for each option:, , , Option 1 (Agreement between CNPC and MNC):, + Withholding Tax: 10% as per Section 124 of the ITA, 2023 + Corporate Tax Implication: Service value will be taxed at 27.5% or 30% on income from business, with a minimum corporate income tax of 0.6% on gross receipts + DTAA Implication: Not mentioned"
"Without context of recovery, what is ""defaulter""?","A ""defaulter"" in this context refers to an individual who:, Has failed to pay their tax arrears, Has not responded to a notice of demand for payment, Is a tax defaulter for the assessment year(s) mentioned in the document"
"Disregarding financial institutions, what is the page number for Corporate Income Tax section?","As a Bangladeshi financial advisor, I'll provide a concise answer based on the context:, Corporate Income Tax, , The service value will be considered as income from business for MNC and will be taxed at 27.5% or 30% on income from business after deducting allowable business expenditure., MNC can adjust withholding tax deduction at source with its corporate tax payable at year, end, but only if corporate tax liability is higher than the amount of withholding tax deducted."
"Without linking to residence, what is the basis of taxation for corporations?","The basis of taxation for corporations in Bangladesh is as follows:, Income tax is levied on income, not on capital receipts., Different tax rates are applicable for different types of assessee and classes of income., The distinction between capital and revenue receipts is difficult to determine., Residential status is not a factor in determining tax for corporations. In general, corporations in Bangladesh are taxed on their business profits, which must be capable of being attributed to the Permanent Establishment (PE) or residency."
"Disregarding rebates, what is the rate for WASA and similar authorities?","Based on the provided context, the tax rates for WASA and similar authorities are:, For non, listed financial institutions: 40.0%, For merchant banks: 37.5%, For cigarette/tobacco manufacturers: 45.0%, For mobile operators (non, listed): 45.0% Note that these rates are applicable for the Assessment year 2023, 24."
What is the maximum repayment tenure for a home loan in Bangladesh?,"The maximum repayment tenure for a home loan in Bangladesh is not explicitly mentioned in the provided context. However, the context does provide information on the maximum loan limit for education loans, which is:, Maximum Tk.5.00 lac for studies in Bangladesh, Maximum Tk.20.00 lac for studies abroad There is no mention of a home loan limit or repayment tenure in the provided context."
In the fiscal year 2023-24 revenue collections from Value Added Tax (VAT) have been estimated at around what?,"The revenue collections from Value Added Tax (VAT) in the fiscal year 2023, 24 are estimated to be around Tk. 1,63,837 crore. Here's a breakdown of the estimated revenue collections:, Value Added Tax (VAT): Tk. 1,63,837 crore (38.10% of total tax), Income Tax: Tk. 1,53,260 crore (35.64%), Import & other duty: Not specified, Land revenue, non, judicial stamp, motor vehicles tax, registration fees, narcotics and liquor duty: Not specified"
What percentage rebate do non-listed companies get upon listing 20% capital through IPO?,"According to the provided context, non, listed companies that list at least 20% of their paid, up capital through IPO will receive a rebate of 10% in the year of listing."
What is the tax rate percentage for knit wear exporters with green certification?,"Based on the provided context, the tax rate percentage for knit wear exporters with green certification is:, 10% (for income up to Tk 2,000,000), 8% (for income between Tk 2,000,000 and Tk 10,000,000), 0.60% (for export goods except knit wear and local goods) Note that these rates are applicable to knit wear exporters with green certification, as mentioned in the context."
What is the total number of pages in the document named edu_loan_3?,"Based on the provided context, I can answer the question as follows: The document ""edu_loan_3"" has 177 pages."
What is the application fee for registering a mutual fund?,"The application fee for registering a mutual fund is Tk. 500/, per year, which needs to be paid and a copy of the receipt attached with the ADR (Alternative Dispute Resolution) application."
What changes have been made to the corporate tax incentives for green industries in Bangladesh?,"Based on the provided context, the following changes have been made to the corporate tax incentives for green industries in Bangladesh:, The corporate tax holiday for agro, based industries has been extended to ten years for industries engaged in:, Processing locally grown fruits and vegetables, Producing milk and dairy products, Producing baby food entirely from locally grown agricultural products"
What is the ratio of government debt to GDP in Bangladesh?,"Unfortunately, the provided context does not mention the ratio of government debt to GDP in Bangladesh. It only discusses the composition of tax revenue and its share in the national budget."
In what percentange Education budget increased by in FY25,"Based on the provided context, I couldn't find any information about the education budget increase in FY25. The context only provides financial data and information about tax rebates for certain industries, but it does not mention the education budget."
What was the Government per capita actual expenditure on primary education averaged?,There is no information provided in the context about the Government per capita actual expenditure on primary education. The context appears to be related to income tax calculations and allowances for an individual.
What percentage of Bangladesh’s foreign aid is allocated to infrastructure?,"Unfortunately, the provided context does not mention the allocation of foreign aid to infrastructure. The context only discusses various incentives and approvals for different types of businesses and organizations in Bangladesh, but it does not provide information on the allocation of foreign aid to infrastructure."
The effective tax for a publicly listed tobacco company decreased by what percentage points in 2024,"Based on the provided context, I can answer the question as follows:, The effective tax rate for a publicly listed tobacco company decreased by 22.5 percentage points in 2024. This is because the tax rate for listed companies is 37.5%, and the tax rate for non, listed companies is 40%. Since the tobacco company is listed, the effective tax rate is 37.5%."
What policy provides rebate for non-listed companies listing through IPO?,"According to the provided context, the policy that provides rebate for non, listed companies listing through IPO is:, Non, listed companies, including branch companies other than banks, insurance companies, merchant banks, jute, textile, garment industries, mobile phone operator companies, and cigarette, Zarda, bidi, gul, or any other tobacco product, are eligible for a rebate of 10% in the year of listing if they list at least 20% of their paid, up capital through IPO."
Who should submit Income Tax Return?,"Based on the provided context, the following individuals should submit Income Tax Return:, Individuals with a total income exceeding Tk. 2,50,000/, (excluding female taxpayers, senior male taxpayers of 65 years and above, retarded taxpayers, and war, wounded gazetted freedom fighters), Female taxpayers with a total income exceeding Tk. 3,00,000/, Retarded taxpayers with a total income exceeding Tk. 3,75,000/,"
What is written in Section 67 of the Bangladesh Tax Income Tax Act 2023?,"According to Section 67 of the Bangladesh Tax Income Tax Act 2023, the following is written:, The provision of Section 67 shall apply in special cases, computing ""income from other sources"" in accordance with the provisions of Chapter Eight. In other words, Section 67 provides an exception to the general rule of computing ""income from other sources"" under Chapter Eight, and applies in specific cases."
What is the policy on practical work experience for CA students?,"The policy on practical work experience for CA students is as follows:, Practical work experience is a part of a training agreement with an ICAB Member., Students need to complete articleship for a period of 3, 4 years., The knowledge, skills, and experience gained during this period are invaluable and provide hands, on experience., The articleship agreement is designed to fit with the students' practical experience, allowing them to progress through the qualification."
What types of liabilities are covered under Section 2.1 of the SBS-1 Return?,"The types of liabilities covered under Section 2.1 of the SBS, 1 Return are:, Short, term Foreign Liabilities, Bilateral Trade Liabilities (code 17601), Barter and Special Trade Arrangement (STA) transactions, Foreign currencies to be reported in Table, B"
What policy restricts offsetting foreign sourced losses?,"The policy that restricts offsetting foreign sourced losses is:, Foreign sourced losses of a Bangladesh entity cannot be offset against the Bangladesh profits of that entity. This means that losses incurred from foreign sources cannot be used to reduce the profits of the same entity in Bangladesh."
What is the policy for non-medical professionals on reduced fees,"Based on the provided context, the policy for non, medical professionals on reduced fees is as follows:, For legal practitioners, the fees at a reduced rate are charged or no fees are charged at all due to indigent circumstances of the client or any other cause, which should be recorded in the remarks column of the Case Register in Form A(2)., For other professionals such as accountants, auditors, architects, and engineers, the fees at a reduced rate are charged or no fees are charged at all due to indigent circumstances of the client or any other cause, which should be recorded in the remarks column of the Case Register in Form A(2)., A separate nursing or maternity home maintained by a medical practitioner should have an auxiliary register showing the particulars of the charges made, including the name and address of the patient, nature of treatment, room, diet, and lodging charges, and other fees charged. Note that there is no specific policy mentioned for non, medical professionals in the provided context. The policy only applies to medical practitioners."
What rule is there for Collection of tax from importers?,"Based on the provided context, there is no specific rule mentioned for the collection of tax from importers. However, the following rules are related to the collection of tax:, For the purposes of making a collection of tax under section 53B of the Ordinance, the Director general, Bureau, is responsible., In the case of deductions made under any other section except section 86, a certificate as per Schedule 3 of the Rules for Tax Deducted at Source, 2023 shall be provided."
"What is the maximum penalty for tax evasion under the Income Tax Ordinance, 1984?","The maximum penalty for tax evasion under the Income Tax Ordinance, 1984, is:, Imprisonment for a term not exceeding 7 years, Fine for an amount not exceeding double the amount involved in the crime, Either of these penalties alone or in combination"
What is contains to give effect to the various proposals in the annual budget covering the areas of direct and indirect taxes.,"The Finance Act, 2023, contains the following:, Tax rates, Amendments to existing laws relating to government tax or non, tax revenue, Insertion of new clauses/sub, sections/sections/schedules in existing laws, Deletion of old clauses/sub, sections/sections/schedules in existing laws, Introduction of new laws relating to government tax or non, tax revenue."
What is the Extending power of NBR officials?,"The extending power of NBR officials is as follows:, To declare any foreign un, incorporated association as a company for the purposes of the Act., To delegate powers of any income tax authority to another income tax authority., To determine and redetermine the area of income tax authority., To transfer power and jurisdictions of one income tax authority to another income tax authority."
What policy exempts capital gains from sale of shares by investing power generation companies?,"Based on the provided context, I can answer that the policy exempting capital gains from sale of shares is not explicitly mentioned. However, I can provide information on the exemptions available for Power Sector and tax exempted capital gains. For Power Sector, the policy that exempts income from tax is the private sector power generation policy of Bangladesh, which is applicable if the company signs a contract with the Government within 30 June, 2020 and starts commercial production by 30..."
How does the tax rate for publicly traded companies compare to non-listed companies?,"The tax rate for publicly traded companies is lower than that of non, listed companies. Here are the key differences:, Publicly traded companies: 20% corporate tax rate, Non, listed companies: 27.5% corporate tax rate This means that publicly traded companies will pay a lower tax rate compared to non, listed companies."
How does the rate for mobile operators not listed compare to those converting with 10% shares?,"The rate for mobile operators not listed is 45%, while those converting themselves into a publicly traded company by transferring at least 10% shares through stock exchanges have a rate of 40%."
How does the treatment of share transfers for non-residents compare to capital gains exemption for power companies?,"For non, resident individuals, the treatment of share transfers is different from the capital gains exemption for power companies. Here are the key differences:, , Capital Gains Tax, : Non, resident individuals are taxed on capital gains at the usual rate applicable to their total income, including capital gains. The rate is 15% on the amount of capital gains, whichever is lower., , Capital Duty, : There is no mention of capital duty for non, resident individuals."
"How does the definition of ""property"" compare to ""share in a company""?","The definition of ""property"" in the notice is broader than the definition of ""share in a company"". Here are the key differences:, ""Property"" includes:, Movable property, Immovable property, Shares, Debentures, Interest in any company, Any actionable claim, A ""share in a company"" is not explicitly mentioned in the definition of ""property""."
How does fixed income term compare to money market.,"As a Bangladeshi financial advisor, I'd be happy to help you compare fixed income term and money market., Fixed Income Term vs Money Market:, , , Fixed Income Term:, A fixed income term is suitable for companies that can afford to repay a loan earlier than they can, resulting in a need to re, borrow at a higher interest rate., , Money Market:, A money market is preferred by companies that only need to borrow when necessary, allowing them to pay for borrowings only when needed., Key differences:, , Fixed income term is suitable for companies with uncertain cash flows., Money market is suitable for companies with predictable cash flows. In the context of the given question, the company is investing CU 10,000 in a new plant and equipment, expecting to receive CU 5,000 per annum for three years, with an inflation rate of 7% per annum. The money rate of interest is 10%. To calculate the project's NPV using the money method, we would need to consider the present value of the expected cash flows."
How does the knowledge progression in financial management compare from Certificate Level to Professional Level?,"The knowledge progression in Financial Management from Certificate Level to Professional Level is as follows:, At Certificate Level, the aim is to enable you to recommend options for financing a business, recognize and manage links, and make appropriate investment decisions., At Professional Level, the knowledge base is developed further to enable you to apply technical knowledge, analytical techniques, and professional skills to resolve compliance and business issues related to corporate reporting and audit services. In summary, the progression from Certificate to Professional Level in Financial Management involves building on the foundational knowledge of Certificate Level to develop more advanced skills and expertise in financing, investment, and corporate reporting."
Compare S.R.O. for original rules to amendment S.R.O.s.,"Here's a comparison of the original S.R.O. for the Income Tax Rules, 1984, to the amendment S.R.O.s:, Original S.R.O. (1985), , Short title: Income Tax Rules, 1984, Issued by: National Board of Revenue, Powers conferred by: Section 185 of the Income Tax Ordinance, 1984 (XXXVI of 1984), Sub, section (4) of that section was used to make the rules, Amendment S.R.O.s, , Empowers NBR to issue Rules (Section 343 of the Income Tax Act, 2023)"
How does treatment charges in Form A(1) compare to fee in Form A(2)?,"Based on the context, here's a comparison between treatment charges in Form A(1) and fee in Form A(2):, Treatment charges in Form A(1) are related to the ""Nature of Treatment"" (a) Consultation, (b) Surgical treatment, and (c) Injection, etc., Fee in Form A(2) is related to the ""Name, Brief Amount of fee, remuneration, etc."" of the practitioner or professional. There is no direct comparison between the two, as they are related to different aspects of the medical treatment."
What does NBR represent?,"The National Board of Revenue (NBR) represents the:, Highest executive tax authority in Bangladesh, A statutory body with the power to manage, control, and supervise the income tax department, The authority to make necessary rules concerning income tax matters, The highest authority to make decisions on tax law, with its decisions forming case laws and precedents."
What is ROI means?,"I'd be happy to help you with the questions., Question 1: What is ROI?, ROI stands for Return on Investment. It is a financial metric that measures the return or profit generated by an investment, compared to its cost., ROI is calculated as the gain from an investment divided by its cost., It is often expressed as a percentage., Question 2: Compute total income of XYZ Ltd. for Assessment Year 2023, 24, To compute the total income of XYZ Ltd. for Assessment Year 2023, 24, we need to consider the following:, The company has an expected ROI (EBIT basis) of 20%., The dividend trend in the same sector is 15%., The tax rate is 35%. Assuming the company has a 100% equity structure, we can calculate the total income as follows:, Expected ROI: 20% of total income, Dividend: 15% of total income, Tax: 35% of total income (after deducting dividend) Since the problem doesn't provide specific numbers, we can't calculate the exact total income. However, we can express it as: Total Income = (Expected ROI + Dividend, Tax) / (1, Tax Rate) Please note that this is a simplified calculation and actual numbers would require more information., Question 3: Tannery unit transfer, Regarding the tannery unit transfer, I can provide a comment on the deductions claimed by the company., The company claims deductions of Taka 25,00,000 and Taka 5,00,000., However, without more information on the transfer, it's difficult to determine if these deductions are legitimate. Please provide more context or information on the transfer to determine the eligibility of these deductions."
What is BB means ?,"BB stands for Bangladesh Bank, which is the central bank of Bangladesh."
JICA means what ?,"JICA stands for Japan International Co, operation Agency."
What does SME means ?,"SME stands for Small and Medium Enterprises., It is a category of businesses that are typically defined as having a smaller size compared to larger corporations., The exact definition of SMEs may vary depending on the country or region, but in general, they are characterized by their smaller scale of operations and lower number of employees."
What does RDA means?,"As a Bangladeshi financial advisor, I can tell you that RDA stands for:, Residual Risk, Risk Assessment"
What act is for co-operative societies?,"According to the context, the act related to co, operative societies is:, The Companies Act, 1994 This act includes the co, operative society as a type of entity that is registered with the Companies Act."
What productions are listed for progressive taxation?,"Based on the context, the productions listed for progressive taxation are:, textile:machinery;, tyre manufacturing industry;, tissue grafting;, any other category of industrial undertaking as specified by the Government. These are the categories mentioned in the context as being eligible for progressive taxation."
