question,response
“করযোগ্য আয়” বলতে কী বোঝায়?,"করযোগ্য আয় বলতে বৈদেশিক কর ক্রেডিটের অধীন সমন্বয় অনুমোদনের উপর আয় গণনার কার্যকারিতা বোঝায়, এতে চুক্তির অধীন উক্ত ডিভিডেন্ডের ক্ষেত্রে বাংলাদেশ করের বিপরীতে কোনো রেয়াত অনুমোদিত হয় বা প্রদেয় রেয়াতের পরিমাণ PO হয়, যেইক্ষেত্রে উপ, ধারা (১) এর অধীন, কোনো আয়ের পরিমাণ বৃদ্ধিপ্রাপ্ত হয় মর্মে বিবেচিত হয়, সেইক্ষেত্রে বৈদেশিক কর, সরাসরি বা বিয়োজনের মাধ্যমে, আরোপযোগ্য না হইলে, উহা লভ্যাংশ প্রদানকারী সংবিধিবদ্ধ সংস্থা কর্তৃক কোনো নির্দিষ্ট সময়ে, প্রদত্ত লভ্যাংশের উপর পরিশোধকৃত বৈদেশিক কর; অথবা উক্ত লভ্যাংশ নির্ধারিত সময়ের মধ্যে পরিশোধ করা না হইলে লভ্যাংশ প্রদানকারী সংবিধিবদ্ধ সংস্থা কর্তৃক প্রদেয় রেয়াতের পরিমাণ PO হয়"
পোর্ট-ট্যাক্স রেবেট বা কর অব্যাহতি কত?,"পোর্ট, ট্যাক্স রেবেট বা কর অব্যাহতি হলো না"
"""বন্ডেড ওয়্যারহাউস"" এবং ""স্পেশাল বন্ডেড ওয়্যারহাউস"" কোন অধ্যায়ে উল্লেখিত?","আপনি একজন বাংলাদেশী আর্থিক পরামর্শদাতা। প্রসঙ্গ ব্যবহার করে সংক্ষিপ্ত ও সঠিক উত্তর দিন। প্রশ্ন: ""বন্ডেড ওয়্যারহাউস"" এবং ""স্পেশাল বন্ডেড ওয়্যারহাউস"" কোন অধ্যায়ে উল্লেখিত? উত্তর:, বন্ডেড ওয়্যারহাউস, স্পেশাল বন্ডেড ওয়্যারহাউস"
"""বোর্ড"" বলতে কোন অর্ডারের অধীনে গঠিত বোর্ডকে বোঝানো হয়?","বোর্ড বলতে ম৪00118130810 অফ রিভেনু অর্ডার, 1972 (প্রেসিডেন্ট অর্ডার 76 দ্বারা) অধীনে গঠিত জাতীয় রাজস্ব বোর্ডকে বোঝানো হয়"
"আয়কর আইন, ২০২৩ দ্বারা কর হার নির্ধারণ কেমন?","আয়কর আইন, ২০২৩ দ্বারা কর হার নির্ধারণ করার জন্য কর কর্তৃপক্ষ কর্তৃপক্ষের দ্বারা স্পটে কর নির্ধারণ করে।"
"""মুসক আইন"" বলতে কোন আইনকে বোঝানো হয়?",(ডি) মুসক আইন হলো ধারা ১৩৭ এর অধীন রহিত মূল্য সংযোজন'কর আইন; ১৯৯১
আয়কর রিটার্ন জমা দেওয়ার শেষ সময় কবে?,আয়কর রিটার্ন জমা দেওয়ার শেষ সময় হল ২৪ (BAA) মাসের অধিক নয়।
ন্যাশনাল বোর্ড অব রেভিনিউ অর্ডার কোন সালের?,২০১২
1984 থেকে 2023 পর্যন্ত “আয়বর্ষ” এর সংজ্ঞায় কী পরিবর্তন হয়েছে?,আয়বর্ষের সংজ্ঞায় পরিবর্তন হয়েছে না। আয়বর্ষের সংজ্ঞা আইনে কোন পরিবর্তন হয়নি।
২০২৪-২৫ অর্থবছরের সংশোধিত বাজেটের তুলনায় ২০২৫-২৬ অর্থবছরের প্রস্তাবিত বাজেটে এনবিআর বহির্ভূত করের লক্ষ্যমাত্রা কত বৃদ্ধি পেয়েছে?,"২০২৪, ২৫ অর্থবছরের সংশোধিত বাজেটের তুলনায় ২০২৫, ২৬ অর্থবছরের প্রস্তাবিত বাজেটে এনবিআর বহির্ভূত করের লক্ষ্যমাত্রা ২০২৪, ২৫ অর্থবছরের লক্ষ্যমাত্রার চেয়ে ১০০০ কোটি টাকা বেশি হয়েছে"
গত দুই দশকে বিদ্যুৎ খাতে বিনিয়োগ কীভাবে পরিবর্তিত হয়েছে?,"বিদ্যুৎ খাতে বিনিয়োগ গত দুই দশকে পরিবর্তিত হয়েছে।, বিদ্যুৎ খাতে বিনিয়োগ বাজারের প্রতিক্রিয়ার কারণে হ্রাস পেয়েছে।, বিদ্যুৎ খাতে বিনিয়োগ করার সময় বিনিয়োগকারীদের জন্য বিভিন্ন প্রয়োজনীয় বিনিয়োগ সুবিধা এবং অধিকার রয়েছে।, বিদ্যুৎ খাতে বিনিয়োগ করার সময় বিনিয়োগকারীদের জন্য বিভিন্ন প্রয়োজনীয় বিনিয়োগ সুবিধা এবং অধিকার রয়েছে।, বিদ্যুৎ খাতে বিনিয়োগ করার সময় বিনিয়োগকারীদের জন্য বিভিন্ন প্রয়োজনীয় বিনিয়োগ সুবিধা এবং অধিকার রয়েছে।, বিদ্যুৎ খাতে বিনিয়োগ করার সময় বিনিয়োগকারীদের জন্য বিভিন্ন প্রয়োজনীয় বিনিয়োগ সুবিধা এবং অধিকার রয়েছে।"
"""ভ্যালু অ্যাডেড ট্যাক্স আইন"" কোন সালের?",ভ্যালু অ্যাডেড ট্যাক্স আইন ২০১২ সালের
গত পাঁচ বছরে ব্যাংক খাতে খেলাপি ঋণের হার কীভাবে পরিবর্তিত হয়েছে?,"গত পাঁচ বছরে ব্যাংক খাতে খেলাপি ঋণের হার হলো:, ২০১৮, ১৯: ১০.৫%, ২০১৯, ২০: ৯.৫%, ২০২০, ২১: ৮.৫%, ২০২১, ২২: ৭.৫%, ২০২২, ২৩: ৬.৫% এই হারগুলি বাংলাদেশ ব্যাংকের অর্থ ব্যবস্থাপনা আইন, ২০০২ এবং বাংলাদেশ ব্যাংকের অর্থ ব্যবস্থাপনা নিয়ম, ২০১৬ এর প্রয়োজনীয়তার উপর ভিত্তি করে পরিবর্তিত হয়েছে।"
২০২৩-২৪ অর্থবছরের হিসাবের তুলনায় ২০২৪-২৫ অর্থবছরের সংশোধিত বাজেটে রাজস্ব আয় কত বৃদ্ধি পেয়েছে?,"উত্তরঃ ২০২৪, ২৫ অর্থবছরের সংশোধিত বাজেটে রাজস্ব আয় ২০২৩, ২৪ অর্থবছরের হিসাবের তুলনায় ১২.৫% বৃদ্ধি পেয়েছে।"
বাজেটে জুলাই গণঅভ্যুত্থান-পরবর্তী অর্থনীতির পুনরুদ্ধারের কথা উল্লেখ করা হয়েছে কেন?,"বাজেটে জুলাই গণঅভ্যুত্থান, পরবর্তী অর্থনীতির পুনরুদ্ধারের কথা উল্লেখ করা হয়েছে কারণ সেই সময়ে বাংলাদেশের অর্থনীতি ব্যাঘাতমুখী ছিল।"
জাতীয় সংসদ ভবনের নকশা কে করেছেন?,"জাতীয় সংসদ ভবনের নকশা করেছেন জে.এস.এল. সুলতান, জে.এস.এল. সুলতান ছিলেন একজন বাংলাদেশী আর্থিক পরামর্শদাতা এবং প্রসঙ্গ অনুসারে তিনি জাতীয় সংসদ ভবনের নকশা করেছেন।"
বাংলাদেশে কতজন করদাতা রিটার্ন জমা দিয়েছে ২০২৩ সালে?,বাংলাদেশে কতজন করদাতা রিটার্ন জমা দিয়েছে ২০২৩ সালে? তথ্য দেওয়া হয়নি।
২০২৫-২৬ অর্থবছরের বাজেটে বিদ্যুৎ খাতে বরাদ্দের শতকরা পরিমাণ কত?,"২০২৫, ২৬ অর্থবছরের বাজেটে বিদ্যুৎ খাতে বরাদ্দের শতকরা পরিমাণ ২৫%"
"""টার্নওভার ট্যাক্স চালানপত্র"" এর উপ-ধারা সংখ্যা কত?","উপ, ধারা (২)"
২০২৫-২৬ অর্থবছরের বাজেটে বিদেশী ঋণের শতকরা পরিমাণ কত?,উত্তর দেওয়া যায় না।
বাংলাদেশের জিডিপি প্রবৃদ্ধি হার কত শতাংশ ছিল ২০২৪ সালে?,আমি সেই তথ্য জানি না যে বাংলাদেশের জিডিপি প্রবৃদ্ধি হার ২০২৪ সালে কত শতাংশ ছিল।
২০২৫-২৬ অর্থবছরের বাজেটে পেনশন খাতে বরাদ্দের শতকরা পরিমাণ কত?,"প্রশ্নের উত্তর দেওয়ার জন্য, আমাদের প্রথমে পেনশন খাতে বরাদ্দের শতকরা পরিমাণ নির্ধারণ করতে হবে। প্রশ্নে প্রদত্ত তথ্য থেকে, আমরা জানি যে পেনশন খাতে বরাদ্দের শতকরা পরিমাণ নির্ধারণ করার জন্য আমাদের বাজেট প্রসঙ্গে প্রয়োজনীয় তথ্য সন্ধান করতে হবে। যাইহোক, প্রশ্নে এই তথ্য প্রদান করা হয়নি। তাই, আমরা প্রশ্নের উত্তর দেওয়ার জন্য প্রয়োজনীয় তথ্য সন্ধান করতে পারি না। যদি আমাদের কাছে প্রয়োজনীয় তথ্য থাকে, তাহলে আমরা প্রশ্নের উত্তর দিতে পারি। যেহেতু প্রশ্নে প্রয়োজনীয় তথ্য প্রদান করা হয়নি, তাই আমরা এই প্রশ্নের উত্তর দেওয়ার জন্য প্রয়োজনীয় তথ্য সন্ধান করতে পারি না।"
"""মুসক আইন"" এর ধারা নং কত?",ধারা ১৩৭
দেশে ক্ষুদ্র ও মাঝারি শিল্পের অবদান জিডিপির কত শতাংশ?,দেশে ক্ষুদ্র ও মাঝারি শিল্পের অবদান জিডিপির ২৫ শতাংশ।
রপ্তানি বৃদ্ধির জন্য কী ধরনের নীতিগত সহায়তা দেওয়া হয়?,"আমাদের বাংলাদেশের আর্থিক পরামর্শদাতা হিসাবে, আমরা জানি যে রপ্তানি বৃদ্ধির জন্য নীতিগত সহায়তা দেওয়া হয়:, আমদানি প্রচারণা এবং প্রচারণা প্রচার, রপ্তানি বাণিজ্যের উন্নতির জন্য সহায়তা, রপ্তানি প্রতিষ্ঠানগুলির জন্য সহায়তা, রপ্তানি বাণিজ্যের উন্নতির জন্য সহায়তা, রপ্তানি প্রতিষ্ঠানগুলির জন্য সহায়তা, রপ্তানি বাণিজ্যের উন্নতির জন্য সহায়তা, রপ্তানি প্রতিষ্ঠানগুলির জন্য সহায়তা, রপ্তানি বাণিজ্যের উন্নতির জন্য সহায়তা, রপ্তানি প্রতিষ্ঠানগুলির জন্য সহায়তা, রপ্তানি বাণিজ্যের উন্নতির জন্য সহায়তা, রপ্তানি প্রতিষ্ঠানগুলির জন্য সহায়তা, রপ্তানি বাণিজ্যের উন্নতির জন্য সহায়তা"
বাজেটে মূল্যস্ফীতি নিয়ন্ত্রণের জন্য কী নীতি গ্রহণ করা হয়েছে?,"উপকর কমিশনার তাহার নিকট প্রাপ্য তথ্য বা দলিলাদি অনুসারে বাজেটে মূল্যস্ফীতি নিয়ন্ত্রণের জন্য উপ, ধারা (১) এ উল্লিখিত সর্বাপেক্ষ নীতি গ্রহণ করা হয়েছে।"
আয়কর অধ্যাদেশে করদাতার পলিসি কী?,"করদাতার পলিসি হলো কর পরিশোধ করার সময় এবং কর পরিশোধ করার উপায় সম্পর্কে করদাতার সিদ্ধান্ত গ্রহণের পদ্ধতি।, করদাতার পলিসি অনুযায়ী কর পরিশোধ করা হয় বা কর পরিশোধ করার উপায় বেছে নেওয়া হয়।, করদাতার পলিসি অনুযায়ী কর পরিশোধ করা হয় বা কর পরিশোধ করার উপায় বেছে নেওয়া হয়, যা করদাতার স্বার্থ ও প্রয়োজনের উপর নির্ভর করে।, করদাতার পলিসি অনুযায়ী কর পরিশোধ করা হয় বা কর পরিশোধ করার উপায় বেছে নেওয়া হয়, যা করদাতার স্বার্থ ও প্রয়োজনের উপর নির্ভর করে।"
বাজেটে পুঁজিবাজারের সংস্কারের জন্য কী টাস্কফোর্স গঠন করা হয়েছে?,বাজেটে পুঁজিবাজারের সংস্কারের জন্য টাস্কফোর্স গঠন করা হয়েছে না।
"""বিল অব এক্সপোর্ট"" দাখিলের নীতি কী?",বিল অব এক্সপোর্ট দাখিলের নীতি হলো যে বিনিয়োগকারী বিনিয়োগের প্রসঙ্গ এবং বিনিয়োগের সুযোগ সম্পর্কে সঠিক এবং স্পষ্ট তথ্য প্রদান করে এবং বিনিয়োগের সুযোগ সম্পর্কে সঠিক এবং স্পষ্ট তথ্য প্রদান করে এবং বিনিয়োগের সুযোগ সম্পর্কে সঠিক এবং স্পষ্ট তথ্য প্রদান করে
আয়কর নীতিতে কর রিবেট কাদের জন্য প্রযোজ্য?,"আয়কর নীতিতে কর রিবেট কাদের জন্য প্রযোজ্য?, কোনো ব্যক্তি বা প্রতিষ্ঠানের রেকর্ডে পূর্ণাঙ্গ ও নির্বির প্রবেশ করিতে পারিলে, কোনো তথ্য, হিসাবের বহি, দলিলাদি, ইমেজ বা, ইনপুটের বিশ্লেষণ করিতে পারিলে, হিসাব বহি ও অন্যান্য দলিলাদিতে শনাক্ত ফি বা স্ট্যাম্প ছাপ দিতে পারিলে, যেকোনো হিসাব বহি, দ্লিলাদি, ইলেক্ট্রনিক রেকর্ড ও সিস্টেম জব্দ করিতে এরং নিজেদের দখলে রাখিতে পারিলে"
বাজেটে নির্বাচন ব্যবস্থার সংস্কারের জন্য কী কমিশন গঠন করা হয়েছে?,বাজেটে নির্বাচন ব্যবস্থার সংস্কারের জন্য কোম্পানি আইন সংশোধন কমিশন গঠন করা হয়েছে
“করদাতা” এবং “করদায়ক” এর মধ্যে পার্থক্য কী?,"করদাতা: করদাতা হল এমন একজন ব্যক্তি যার কাছে কোনো কর আয় করা হয়েছে বা কোনো কর প্রদান করা হয়েছে।, করদায়ক: করদায়ক হল এমন একজন ব্যক্তি যার কাছে কোনো কর আয় করা হয়নি বা কোনো কর প্রদান করা হয়নি।"
২০২৫-২৬ অর্থবছরের প্রস্তাবিত বাজেটে বিদ্যুৎ খাতের বরাদ্দ স্থানীয় সরকার খাতের বরাদ্দের সাথে তুলনায় কত কম?,"২০২৫, ২৬ অর্থবছরের প্রস্তাবিত বাজেটে বিদ্যুৎ খাতের বরাদ্দ স্থানীয় সরকার খাতের বরাদ্দের সাথে তুলনায় ২০২৪, ২৫ অর্থবছরের প্রস্তাবিত বাজেটে বিদ্যুৎ খাতের বরাদ্দের সাথে তুলনা করলে পাওয়া যায় ১০০০ কোটি টাকা"
“আয়কর কর্মকর্তা” এবং “আয়কর অ্যাপিলেট কমিশনার” এর মধ্যে পার্থক্য কী?,"আয়কর কর্মকর্তা এবং আয়কর অ্যাপিলেট কমিশনার হলো দুই ভিন্ন পদ যা আয়কর প্রতিষ্ঠানের কার্যক্রমে জড়িত।, আয়কর কর্মকর্তা: একজন আয়কর কর্মকর্তা হলো আয়কর প্রতিষ্ঠানের একজন কর্মকর্তা যার দায়িত্ব আয়কর প্রয়োগ করা, আয়কর প্রতিষ্ঠানের কার্যক্রমে সহায়তা করা এবং আয়কর প্রতিষ্ঠানের কার্যক্রমে সমস্যা সমাধান করা।, আয়কর অ্যাপিলেট কমিশনার: একজন আয়কর অ্যাপিলেট কমিশনার হলো আয়কর প্রতিষ্ঠানের একজন কর্মকর্তা যার দায়িত্ব আয়কর প্রতিষ্ঠানের কার্যক্রমে সমস্যা সমাধান করা, আয়কর প্রতিষ্ঠানের কার্যক্রমে সহায়তা করা এবং আয়কর প্রতিষ্ঠানের কার্যক্রমে সমস্যা সমাধানের জন্য কর্মকর্তাদের মধ্যে মধ্যস্থতা করা। সংক্ষেপে, আয়কর কর্মকর্তা আয়কর প্রতিষ্ঠানের একজন কর্মকর্তা যার"
২০২৫-২৬ অর্থবছরের প্রস্তাবিত বাজেটে শিক্ষা খাতের বরাদ্দ কৃষি খাতের বরাদ্দের সাথে তুলনায় কত বেশি?,"উত্তর দেওয়ার জন্য প্রশ্নের প্রস্তাবিত তথ্য বিশ্লেষণ করে এবং শিক্ষা খাতের বরাদ্দ এবং কৃষি খাতের বরাদ্দের মধ্যে পার্থক্য খুঁজে বের করে প্রশ্নের উত্তর দেওয়া যেতে পারে। প্রশ্নে বলা হয়েছে, ২০২৫, ২৬ অর্থবছরের প্রস্তাবিত বাজেটে শিক্ষা খাতের বরাদ্দ কৃষি খাতের বরাদ্দের সাথে তুলনায় কত বেশি? এই প্রশ্নের উত্তর দেওয়ার জন্য, আমাদের প্রস্তাবিত বাজেটে শিক্ষা খাতের বরাদ্দ এবং কৃষি খাতের বরাদ্দ খুঁজে বের করতে হবে এবং তারপর তাদের মধ্যে পার্থক্য খুঁজে বের করতে হবে। যাইহোক, প্রশ্নে এই তথ্য প্রদান করা হয়নি। তাই, আমরা এই তথ্য খুঁজে পেতে পারি না এবং উত্তর দেওয়ার জন্য প্রশ্নের প্রস্তাবিত তথ্য ব্যবহার করতে..."
ADP এর পূর্ণরূপ কী?,"আপনি একজন বাংলাদেশী আর্থিক পরামর্শদাতা হিসাবে প্রশ্নটির উত্তর দিতে পারেন। ADP এর পূর্ণরূপ হলো:, চালানপত্র, উৎসে কর কর্মকর্তার স্বাক্ষর, ক্ষমতাপ্রাপ্ত মূল্য সংযোজন কর কর্মকর্তার স্বাক্ষর, ব্যাংক ওয়ারেন্ট কার্যকর করিয়াছে তাহার যথাযথ রুর্মকর্তা, অনুলিপি, ঠিকানাএর নিকট প্রেরণ করা হয়েছে, ক্ষমতাপ্রাপ্ত মূল্য সংযোজন কর কর্মকর্তার স্বাক্ষর, ব্যর্থতাবাঅনিয়মের ধরন ও বিবরণ, গে) ব্যর্থতাবা অনিয়মের কারণে লংখিত ধারা, বিধি, বা তদাধীনে প্রণীত বিধান, ছে) কারণ দর্শানো নোটিশের জবাব, (@) ব্যক্তিগত শুনানিতে দেওয়া বক্তব্য, ঝে) আনীত অভিযোগও অভিযুক্ত ব্যক্তির জবাব বিশ্লেষণ/পর্যালোচনা"
ভ্যাট এর পূর্ণরূপ কী?,"ভ্যাট এর পূর্ণরূপ হলো:, কে) ব্যর্থতা বা অনিয়মের জন্য অভিযুক্ত ব্যক্তির নাম, ঠিকানা, ও ব্যবসায়: সনাক্তকরণ সংখ্যা, গে) আনীত অভিযোগের কারণে লংখিত' ধারা, বিধি, বা তদাধীনে প্রণীত কোনো বিধান, ছে) ফীকিপ্রদত্তবা পরিহারকৃত করের পরিমাণ (যদি থাকে), ছে) কারণ দর্শানো নোটিশের জবাব, (@) ব্যক্তিগত শুনানিতে দেওয়া বক্তব্য (যদি থাকে), ঝে) আনীত অভিযোগও অভিযুক্ত ব্যক্তির জবাব বিশ্লেষণ/পর্যালোচনা, (এ) বিশ্লেষণের ফলাফল (অভিযোগ প্রমাণিত/খণ্ডিত), (0) আদেশে কোনো জরিমানা আরোপ করা হইয়া ..."
অধ্যাদেশের প্রকাশক কে?,অধ্যাদেশের প্রকাশক হলো বাংলাদেশ গেজেট
